name,xcoord,ycoord,City_ethnic,Constitution,Region,Size_of_Territory,Demos,Boule,Dikasterion,Gerousia,Nomothetai,Other_Institutions,Total_Institutions,phratriai,demoi,phylai,other_civic_subdivision,Proxenoi,Theorodokoi,Theorodokoi_Type,Panhellenic_Victors,Panhellenic_Victors_Specific_Games,Members_of_the_Delian_League,Stasis,Destruction,Type_of_Destruction,Andrapodismos,Destruction_of_urban_center,Dioikismos,Expulsion_of_population,Population_killed_off,Synoikismos,City_Walls,Political_Architecture,Temple,Theatre,Stoas,Gymnasia,Stadia,Hippodromes,Total_Public_Building_Types,Colonisation
none,none,none,none,checkbox,parallel,parallel,binary,checkbox,binary,binary,binary,binary,parallel,binary,binary,binary,binary,binary,binary,binary,binary,parallel,binary,parallel,binary,parallel,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,binary,parallel,parallel
,,,,"NR,Dem,Ol,Pol,Tyr,Bas",,,,"val1,val2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36-Megara (Hyblaia),10.25,2.616666667,Megareus,NR,2,4,1,val1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,5,1,1,0,0,0,1,1,0,1,0,1,0,0,0,2,1
83-Melaina Korkyra,0.283333333,4.716666667,Korkyraios,NR,4,4,0,val1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
229-Aigai (Achaia),20.36666667,12.63333333,Aigaios,"Dem,Ol",12,1,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
282-Megale polis,25.36666667,14.61666667,Megalopolites,NR,14,4,0,val1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,3,0
254-Ewaoioi,37.91666667,21.08333333,Ewaoioi,NR,13,0,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251-Dyspontion,37.91666667,21.33333333,Dyspontios,"Dem,Ol",13,0,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258-Lenos,37.66666667,21.41666667,,NR,13,0,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259-Letrinoi,37.66666667,21.5,Letrinos,NR,13,1,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263-Pisa,37.91666667,21.5,Pisatas,NR,13,4,0,val1,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364-Athenai Diades,50.38333333,21.63333333,Athenites,"Dem,Ol,Tyr",21,1,0,val1,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
256-Larissa,37.83333333,21.75,,NR,13,0,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499-Melos,50.45,25.6,Melios,NR,25,3,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
688-Nikonion,30.41666667,26.16666667,,NR,62,3,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,1,0,1,1,1,1,0,0,4,0
975-Malla,25.58333333,30.08333333,Mallois,NR,41,2,0,val2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680-Serrion Teichos,45.45,32.66666667,Serreioteichites,NR,32,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
676-Heraion/Heraion Teichos,0.45,32.68333333,Heraites,NR,32,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
675-Daminon Teichos,5.466666667,32.68333333,Damnioteichites,NR,32,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
